SEAM slot,SEAM pin,Signal ID,Pigtail slot,Pigtail pin,GBTx ID,Conn to PT,DCB slot,DCB pin,Conn to other DCBs
0,A1,1.5V,,,,False,,,False
0,A2,1.5V,,,,False,,,False
0,A5,1.5V,,,,False,,,False
0,A6,1.5V,,,,False,,,False
0,A9,1.5V,,,,False,,,False
0,A10,1.5V,,,,False,,,False
0,A13,1.5V,,,,False,,,False
0,A14,1.5V,,,,False,,,False
0,A17,1.5V,,,,False,,,False
0,A18,1.5V,,,,False,,,False
0,A21,1.5V,,,,False,,,False
0,A22,1.5V,,,,False,,,False
0,A25,1.5V,,,,False,,,False
0,A26,1.5V,,,,False,,,False
0,A29,1.5V,,,,False,,,False
0,A30,1.5V,,,,False,,,False
0,A33,1.5V,,,,False,,,False
0,A34,1.5V,,,,False,,,False
0,A37,1.5V,,,,False,,,False
0,A38,1.5V,,,,False,,,False
0,A41,1.5V,,,,False,,,False
0,A42,1.5V,,,,False,,,False
0,A45,1.5V,,,,False,,,False
0,A46,1.5V,,,,False,,,False
0,A49,1.5V,,,,False,,,False
0,A50,1.5V,,,,False,,,False
0,C50,1V5_SENSE_NEG,,,,False,,,False
0,C49,1V5_SENSE_POS,,,,False,,,False
0,G1,2.5V,,,,False,,,False
0,G2,2.5V,,,,False,,,False
0,G5,2.5V,,,,False,,,False
0,G6,2.5V,,,,False,,,False
0,G9,2.5V,,,,False,,,False
0,G10,2.5V,,,,False,,,False
0,G13,2.5V,,,,False,,,False
0,G14,2.5V,,,,False,,,False
0,G17,2.5V,,,,False,,,False
0,G18,2.5V,,,,False,,,False
0,G21,2.5V,,,,False,,,False
0,G22,2.5V,,,,False,,,False
0,G25,2.5V,,,,False,,,False
0,G26,2.5V,,,,False,,,False
0,G29,2.5V,,,,False,,,False
0,G30,2.5V,,,,False,,,False
0,G33,2.5V,,,,False,,,False
0,G34,2.5V,,,,False,,,False
0,G37,2.5V,,,,False,,,False
0,G38,2.5V,,,,False,,,False
0,G41,2.5V,,,,False,,,False
