Pigtail slot,Pigtail pin,Signal ID,DCB slot,DCB pin,GBTx ID,Not connected to DCB
0,I20,P1_ASIC_0_CH0_N,0,D5,00 - 6,False
0,J20,P1_ASIC_0_CH0_P,0,D6,00 - 6,False
0,G21,P1_ASIC_0_CH1_N,0,C7,00 - 6,False
0,H21,P1_ASIC_0_CH1_P,0,C8,00 - 6,False
0,H23,P1_ASIC_0_CH2_N,0,C3,00 - 6,False
0,G23,P1_ASIC_0_CH2_P,0,C4,00 - 6,False
0,I19,P1_ASIC_0_CH3_N,0,B9,00 - 6,False
0,J19,P1_ASIC_0_CH3_P,0,B10,00 - 6,False
0,I18,P1_ASIC_0_CH4_N,,,,True
0,J18,P1_ASIC_0_CH4_P,,,,True
0,G20,P1_ASIC_1_CH0_N,0,F9,00 - 6,False
0,H20,P1_ASIC_1_CH0_P,0,F10,00 - 6,False
0,J21,P1_ASIC_1_CH1_N,0,F5,00 - 6,False
0,I21,P1_ASIC_1_CH1_P,0,F6,00 - 6,False
0,G22,P1_ASIC_1_CH2_N,0,E7,00 - 6,False
0,H22,P1_ASIC_1_CH2_P,0,E8,00 - 6,False
0,G18,P1_ASIC_1_CH3_N,0,E3,00 - 6,False
0,G19,P1_ASIC_1_CH3_P,0,E4,00 - 6,False
0,H18,P1_ASIC_1_CH4_N,,,,True
0,H19,P1_ASIC_1_CH4_P,,,,True
0,G28,P1_ASIC_2_CH0_N,0,D45,00 - 1,False
0,H28,P1_ASIC_2_CH0_P,0,D46,00 - 1,False
0,G29,P1_ASIC_2_CH1_N,0,C47,00 - 1,False
0,H29,P1_ASIC_2_CH1_P,0,C48,00 - 1,False
0,G30,P1_ASIC_2_CH2_N,0,C43,00 - 1,False
0,H30,P1_ASIC_2_CH2_P,0,C44,00 - 1,False
0,G31,P1_ASIC_2_CH3_N,0,B49,00 - 1,False
0,H31,P1_ASIC_2_CH3_P,0,B50,00 - 1,False
0,G32,P1_ASIC_2_CH4_N,,,,True
0,H32,P1_ASIC_2_CH4_P,,,,True
0,I28,P1_ASIC_3_CH0_N,0,F49,00 - 1,False
0,J28,P1_ASIC_3_CH0_P,0,F50,00 - 1,False
0,I29,P1_ASIC_3_CH1_N,0,F45,00 - 1,False
0,J29,P1_ASIC_3_CH1_P,0,F46,00 - 1,False
0,I30,P1_ASIC_3_CH2_N,0,E47,00 - 1,False
0,J30,P1_ASIC_3_CH2_P,0,E48,00 - 1,False
0,I31,P1_ASIC_3_CH3_N,0,E43,00 - 1,False
0,J31,P1_ASIC_3_CH3_P,0,E44,00 - 1,False
0,I32,P1_ASIC_3_CH4_N,,,,True
0,J32,P1_ASIC_3_CH4_P,,,,True
0,G04,P1_ASIC_4_CH0_N,2,D5,02 - 6,False
0,G03,P1_ASIC_4_CH0_P,2,D6,02 - 6,False
0,H02,P1_ASIC_4_CH1_N,2,C7,02 - 6,False
0,H01,P1_ASIC_4_CH1_P,2,C8,02 - 6,False
0,J01,P1_ASIC_4_CH2_N,2,C3,02 - 6,False
0,I01,P1_ASIC_4_CH2_P,2,C4,02 - 6,False
0,G01,P1_ASIC_4_CH3_N,2,B9,02 - 6,False
0,G02,P1_ASIC_4_CH3_P,2,B10,02 - 6,False
0,F01,P1_ASIC_4_CH4_N,,,,True
0,F02,P1_ASIC_4_CH4_P,,,,True
0,J06,P1_ASIC_5_CH0_N,2,F9,02 - 6,False
0,I06,P1_ASIC_5_CH0_P,2,F10,02 - 6,False
0,H03,P1_ASIC_5_CH1_N,2,F5,02 - 6,False
0,H04,P1_ASIC_5_CH1_P,2,F6,02 - 6,False
0,I05,P1_ASIC_5_CH2_N,2,E7,02 - 6,False
0,J05,P1_ASIC_5_CH2_P,2,E8,02 - 6,False
0,I02,P1_ASIC_5_CH3_N,2,E3,02 - 6,False
0,J02,P1_ASIC_5_CH3_P,2,E4,02 - 6,False
0,F03,P1_ASIC_5_CH4_N,,,,True
0,F04,P1_ASIC_5_CH4_P,,,,True
